scenario,transactions,roc_auc,accuracy,precision,recall,f1,TN,FP,FN,TP,allow_count,review_count,block_count,mean_probability,max_probability,scoring_time_ms,avg_time_per_tx_ms
01_normal_baseline,500,1.0,0.996,1.0,0.9759036144578314,0.9878048780487805,417,0,2,81,417,2,81,0.15578999999999998,1.0,23.206252997624688,0.046412505995249376
02_random_noise_flood,500,1.0,0.994,1.0,0.963855421686747,0.9815950920245399,417,0,3,80,416,4,80,0.15446999999999997,1.0,23.289731001568725,0.04657946200313745
03_micro_transaction_probe,500,1.0,0.994,1.0,0.963855421686747,0.9815950920245399,417,0,3,80,417,3,80,0.15996,0.99,33.596586999919964,0.06719317399983993
04_high_value_flood,500,1.0,0.998,1.0,0.9879518072289156,0.9939393939393939,417,0,1,82,417,1,82,0.17564,1.0,24.002484999073204,0.04800496999814641
05_rapid_fire_flood,5000,1.0,0.996,1.0,0.9759036144578314,0.9878048780487805,4170,0,20,810,4170,20,810,0.15578999999999998,1.0,33.56495600019116,0.006712991200038232
06_transfer_cashout_attack,500,0.9995810580451301,0.992,1.0,0.9518072289156626,0.9753086419753086,417,0,4,79,412,9,79,0.18280000000000002,1.0,34.80434699667967,0.06960869399335934
07_balance_draining_attack,500,0.9090173644217157,0.85,1.0,0.0963855421686747,0.17582417582417584,417,0,75,8,484,8,8,0.05503,0.495,25.190115000441438,0.050380230000882875
08_mixed_obfuscation_attack,500,0.908974025598798,0.834,0.5,0.8674698795180723,0.6343612334801763,345,72,11,72,343,13,144,0.20855,0.715,23.020002998237032,0.046040005996474065
